Jahr,RaumSort,RaumLang,RechtsformSort,RechtsformLang,asBetriebsgrSort,BetriebsgrLang,Arbeitsstaetten,AnzBesch,AnzBeschW,AnzBeschM,AnzVZAano,AnzVZAWano,AnzVZAMano
2011,14,City,3,Aktiengesellschaften,2,Kleine Unternehmen,208,5347,2722,2625,4341,2025,2316
2011,14,City,3,Aktiengesellschaften,3,Mittlere Unternehmen,64,8117,3195,4922,6924,2487,4437
2011,14,City,3,Aktiengesellschaften,4,Grosse Unternehmen,12,5237,2667,2570,4613,2193,2421
2011,14,City,4,GmbH,0,Alle Betriebsgrössen,204,1638,946,692,1165,620,544
2011,14,City,4,GmbH,1,Mikrounternehmen,173,712,424,288,490,271,219
2011,14,City,4,GmbH,2,Kleine Unternehmen,29,720,423,297,501,273,227
2011,14,City,4,GmbH,3,Mittlere Unternehmen,2,206,99,107,,,
2011,14,City,5,Genossenschaften,0,Alle Betriebsgrössen,20,747,484,263,623,377,246
2011,14,City,5,Genossenschaften,1,Mikrounternehmen,8,60,48,12,46,37,9
2011,14,City,5,Genossenschaften,2,Kleine Unternehmen,8,171,110,61,145,86,59
2011,14,City,5,Genossenschaften,3,Mittlere Unternehmen,4,516,326,190,432,254,178
2011,14,City,6,Ausländische Kapitalgesellschaften,0,Alle Betriebsgrössen,43,569,254,315,522,219,301
2011,14,City,6,Ausländische Kapitalgesellschaften,1,Mikrounternehmen,28,118,54,64,106,44,62
2011,14,City,6,Ausländische Kapitalgesellschaften,2,Kleine Unternehmen,14,380,174,206,351,153,197
2011,14,City,6,Ausländische Kapitalgesellschaften,3,Mittlere Unternehmen,1,71,26,45,,,
2011,14,City,7,"Vereine, Stiftungen",0,Alle Betriebsgrössen,67,795,405,390,540,266,272
2011,14,City,7,"Vereine, Stiftungen",1,Mikrounternehmen,56,246,139,107,153,80,72
2011,14,City,7,"Vereine, Stiftungen",2,Kleine Unternehmen,8,280,159,121,,,
2011,14,City,7,"Vereine, Stiftungen",3,Mittlere Unternehmen,3,269,107,162,,,
2011,14,City,8,"Öffentliche Unternehmen, Verwaltung",0,Alle Betriebsgrössen,39,2391,849,1542,1981,611,1370
2011,14,City,8,"Öffentliche Unternehmen, Verwaltung",1,Mikrounternehmen,20,147,77,70,102,49,53
2011,14,City,8,"Öffentliche Unternehmen, Verwaltung",2,Kleine Unternehmen,12,315,161,154,224,107,117
2011,14,City,8,"Öffentliche Unternehmen, Verwaltung",3,Mittlere Unternehmen,6,519,306,213,391,209,182
2011,14,City,8,"Öffentliche Unternehmen, Verwaltung",4,Grosse Unternehmen,1,1410,305,1105,,,
2011,20,Kreis 2,0,Alle Rechtsformen,0,Alle Betriebsgrössen,3690,42295,19218,23077,32625,12786,19844
2011,20,Kreis 2,0,Alle Rechtsformen,1,Mikrounternehmen,3249,9246,4678,4568,6536,2898,3641
2011,20,Kreis 2,0,Alle Rechtsformen,2,Kleine Unternehmen,322,9969,4685,5284,7124,2878,4248
2011,20,Kreis 2,0,Alle Rechtsformen,3,Mittlere Unternehmen,103,12134,4996,7138,10310,3791,6519
2011,20,Kreis 2,0,Alle Rechtsformen,4,Grosse Unternehmen,16,10946,4859,6087,8655,3219,5436
2011,20,Kreis 2,1,Einzelfirmen,0,Alle Betriebsgrössen,1576,3010,1650,1360,1982,952,1031
2011,20,Kreis 2,1,Einzelfirmen,1,Mikrounternehmen,1565,2663,1492,1171,1766,857,909
2011,20,Kreis 2,1,Einzelfirmen,2,Kleine Unternehmen,11,347,158,189,216,95,122
2011,20,Kreis 2,2,Personengesellschaften,0,Alle Betriebsgrössen,119,753,448,305,582,315,268
2011,20,Kreis 2,2,Personengesellschaften,1,Mikrounternehmen,111,395,241,154,282,154,128
2011,20,Kreis 2,2,Personengesellschaften,2,Kleine Unternehmen,6,114,77,37,87,55,33
2011,20,Kreis 2,2,Personengesellschaften,3,Mittlere Unternehmen,2,244,130,114,,,
2011,20,Kreis 2,3,Aktiengesellschaften,0,Alle Betriebsgrössen,1207,24696,9675,15021,21254,7515,13740
2011,20,Kreis 2,3,Aktiengesellschaften,1,Mikrounternehmen,922,3610,1603,2007,2752,1085,1668
2011,20,Kreis 2,3,Aktiengesellschaften,2,Kleine Unternehmen,198,5313,2184,3129,4443,1635,2808
2011,20,Kreis 2,3,Aktiengesellschaften,3,Mittlere Unternehmen,75,8536,2989,5547,7583,2386,5197
2011,20,Kreis 2,3,Aktiengesellschaften,4,Grosse Unternehmen,12,7237,2899,4338,6476,2409,4067
2011,20,Kreis 2,4,GmbH,0,Alle Betriebsgrössen,404,3004,1064,1940,2445,740,1704
2011,20,Kreis 2,4,GmbH,1,Mikrounternehmen,380,1197,572,625,864,360,504
2011,20,Kreis 2,4,GmbH,2,Kleine Unternehmen,22,570,255,315,415,160,255
2011,20,Kreis 2,4,GmbH,3,Mittlere Unternehmen,1,234,107,127,,,
2011,20,Kreis 2,4,GmbH,4,Grosse Unternehmen,1,1003,130,873,,,
